service,method,path_norm,fe_files,be_files,notes
public-api,GET,/JOURNALS,bthwani-project-main/admin-dashboard/src/pages/money/GeneralLedger.tsx;bthwani-project-main/admin-dashboard/src/pages/money/ReportsPage.tsx,,FE-ONLY
public-api,GET,/KAWADER,bthwani-project-main/app-user/src/api/kawaderApi.ts;bthwani-project-main/bthwani-web/src/features/kawader/api.ts,bthwani-project-main/backend-nest/src/modules/kawader/kawader.controller.ts,OK
public-api,GET,/KAWADER/MY,bthwani-project-main/app-user/src/api/kawaderApi.ts,,FE-ONLY
public-api,GET,/KAWADER/SEARCH,bthwani-project-main/app-user/src/api/kawaderApi.ts,,FE-ONLY
public-api,GET,/KAWADER/{PARAM},,bthwani-project-main/backend-nest/src/modules/kawader/kawader.controller.ts,BE-ONLY
public-api,GET,/KENZ,bthwani-project-main/app-user/src/api/kenzApi.ts;bthwani-project-main/bthwani-web/src/features/kenz/api.ts,bthwani-project-main/backend-nest/src/modules/kenz/kenz.controller.ts,OK
public-api,GET,/KENZ/CATEGORY,bthwani-project-main/app-user/src/api/kenzApi.ts,,FE-ONLY
public-api,GET,/KENZ/MY,bthwani-project-main/app-user/src/api/kenzApi.ts,,FE-ONLY
public-api,GET,/KENZ/SEARCH,bthwani-project-main/app-user/src/api/kenzApi.ts,,FE-ONLY
public-api,GET,/KENZ/STATS,bthwani-project-main/app-user/src/api/kenzApi.ts,,FE-ONLY
public-api,GET,/KENZ/{PARAM},,bthwani-project-main/backend-nest/src/modules/kenz/kenz.controller.ts,BE-ONLY
public-api,GET,/LEGAL/ADMIN/CONSENT/STATISTICS,,bthwani-project-main/backend-nest/src/modules/legal/legal.controller.ts,BE-ONLY
public-api,GET,/LEGAL/ADMIN/PRIVACY-POLICIES,,bthwani-project-main/backend-nest/src/modules/legal/legal.controller.ts,BE-ONLY
public-api,GET,/LEGAL/ADMIN/TERMS-OF-SERVICE,,bthwani-project-main/backend-nest/src/modules/legal/legal.controller.ts,BE-ONLY
public-api,GET,/LEGAL/CONSENT/CHECK/{PARAM},,bthwani-project-main/backend-nest/reports/ROUTE_DUPLICATES_FIX_PLAN.md,BE-ONLY
public-api,GET,/LEGAL/EXPORT-DATA,,bthwani-project-main/backend-nest/tools/audit/store_backend_map.ts,BE-ONLY
public-api,GET,/LEGAL/PRIVACY-POLICY,,bthwani-project-main/backend-nest/src/modules/legal/legal.controller.ts;bthwani-project-main/backend-nest/tools/audit/store_backend_map.ts,BE-ONLY
public-api,GET,/LEGAL/TERMS-OF-SERVICE,,bthwani-project-main/backend-nest/src/modules/legal/legal.controller.ts,BE-ONLY
public-api,GET,/LIST,,bthwani-project-main/backend-nest/NEXT_IMMEDIATE_STEPS.md;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/LOGGER,,bthwani-project-main/backend-nest/docs/SECURITY_AUDIT_REPORT.md,BE-ONLY
public-api,GET,/MAAROUF,bthwani-project-main/app-user/src/api/maaroufApi.ts;bthwani-project-main/bthwani-web/src/features/maarouf/api.ts,bthwani-project-main/backend-nest/src/modules/maarouf/maarouf.controller.ts,OK
public-api,GET,/MAAROUF/MY,bthwani-project-main/app-user/src/api/maaroufApi.ts,,FE-ONLY
public-api,GET,/MAAROUF/SEARCH,bthwani-project-main/app-user/src/api/maaroufApi.ts,,FE-ONLY
