surface,file,client,method,path,normalized_path
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,POST,/v2/wallet/topup/verify,/V2/WALLET/TOPUP/VERIFY
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/topup/history,/V2/WALLET/TOPUP/HISTORY
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/withdraw/methods,/V2/WALLET/WITHDRAW/METHODS
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,POST,/v2/wallet/withdraw/request,/V2/WALLET/WITHDRAW/REQUEST
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/withdraw/my,/V2/WALLET/WITHDRAW/MY
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,POST,/v2/wallet/coupons/apply,/V2/WALLET/COUPONS/APPLY
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,POST,/v2/wallet/coupons/validate,/V2/WALLET/COUPONS/VALIDATE
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/coupons/my,/V2/WALLET/COUPONS/MY
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/coupons/history,/V2/WALLET/COUPONS/HISTORY
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,POST,/v2/wallet/subscriptions/subscribe,/V2/WALLET/SUBSCRIPTIONS/SUBSCRIBE
UNKNOWN,bthwani-project-main/app-user/src/api/walletApi.ts,axiosInstance,GET,/v2/wallet/subscriptions/my,/V2/WALLET/SUBSCRIPTIONS/MY
